no,store,sku,cat_code,cat_name,material_name,count_name,quantity,cost,price_avg
766,MAIN,ALH006M39B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 6"" P.Hot Rose (BK)",ใบ,20,10.2,0.51
767,MAIN,ALH006M41B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 6"" P.L.Blue (BK)",ใบ,,,
768,MAIN,ALH006M42B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 6"" P.E.Green (BK)",ใบ,4,2.12,0.53
769,MAIN,ALH006M44B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 6"" P.C.Yellow (BK)",ใบ,100,51,0.51
770,MAIN,ALH006M46B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 6"" P.Ruby Red (BK)",ใบ,144,73.44,0.51
771,MAIN,ALH006M47B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 6"" P.S.Blue (BK)",ใบ,6,3.06,0.51
772,MAIN,ALH006M58B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 6"" P.M. Green (BK)",ใบ,,,
774,MAIN,ALH006S02B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 6"" Pink (BK)",ใบ,83,42.33,0.51
776,MAIN,ALH011M41B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 11"" P.L.Blue (BK)",ใบ,93,123.69,1.33
777,MAIN,ALH011M46B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 11"" P.Ruby Red (BK)",ใบ,900,"1,350.00",1.5
778,MAIN,ALH011M58B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 11"" P.M. Green (BK)",ใบ,132,175.56,1.33
779,MAIN,ALH011M59B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 11"" P.Lavender (BK)",ใบ,,,
780,MAIN,ALH011P51B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 11"" Silver (BK)",ใบ,,,
781,MAIN,ALH011S01B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 11"" White (BK)",ใบ,165,219.45,1.33
782,MAIN,ALH011S04B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 11"" Lilac (BK)",ใบ,343,456.19,1.33
783,MAIN,ALH011S05B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 11"" Pale Blue (BK)",ใบ,88,117.04,1.33
784,MAIN,ALH011S10B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 11"" Red (BK)",ใบ,26,34.58,1.33
785,MAIN,ALH011S11B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 11"" Dark Blue (BK)",ใบ,,,
1109,MAIN,ALR000P00B0,1BL,BK LATEX,ลูกโป่งกลมสกรีน,ใบ,"14,922","35,441.29",2.3751
1169,MAIN,ALR006J73B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" D.Clear (BK)",ใบ,"2,791","1,144.31",0.41
1170,MAIN,ALR006M37B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.White (BK)",ใบ,"3,479","1,774.29",0.51
1171,MAIN,ALR006M38B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.Pink (BK)",ใบ,"3,100","1,581.00",0.51
1172,MAIN,ALR006M39B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.Hot Rose (BK)",ใบ,"2,242","1,143.42",0.51
1173,MAIN,ALR006M40B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.Q.Purple (BK)",ใบ,"3,570","1,820.69",0.51
1174,MAIN,ALR006M41B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.L.Blue (BK)",ใบ,900,459,0.51
1175,MAIN,ALR006M42B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.E.Green (BK)",ใบ,"2,501","1,275.51",0.51
1176,MAIN,ALR006M43B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.Lime Green (BK)",ใบ,"2,100","1,071.00",0.51
1177,MAIN,ALR006M44B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.C.Yellow (BK)",ใบ,"3,057","1,554.91",0.5086
1178,MAIN,ALR006M45B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.M.Orange (BK)",ใบ,"2,280","1,162.79",0.51
1179,MAIN,ALR006M46B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.Ruby Red (BK)",ใบ,"4,500","2,295.00",0.51
1180,MAIN,ALR006M47B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.S.Blue (BK)",ใบ,"2,894","1,475.94",0.51
1181,MAIN,ALR006M48B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.Onxy Black (BK)",ใบ,"1,700",867,0.51
1182,MAIN,ALR006M49B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Gold (BK)",ใบ,"2,945","1,501.93",0.51
1183,MAIN,ALR006M51B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Silver (BK)",ใบ,"3,090","1,575.89",0.51
1184,MAIN,ALR006M58B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.M. Green (BK)",ใบ,"2,100","1,071.00",0.51
1185,MAIN,ALR006M59B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.Lavender (BK)",ใบ,"4,046","2,063.46",0.51
